description,equipment_type,vendor,cost,last_cal_date,next_cal_date,area,status,source
Off Center Load Cell,BALANCE,Sendi Mahir,162.0,2026-07-01,2027-07-01,SRS,Active,Calibration
Off Center Load Cell,BALANCE,Sendi Mahir,162.0,2026-07-01,2027-07-01,SRS,Active,Calibration
Off Center Load Cell,BALANCE,Sendi Mahir,162.0,2026-07-01,2027-07-01,SRS,Active,Calibration
Source Meter,OTHERS,Sendi Mahir,259.2,2026-07-01,2027-07-01,SRS,Active,Calibration
Source Meter,OTHERS,Sendi Mahir,259.2,2026-07-01,2027-07-01,SRS,Active,Calibration
Source Meter,OTHERS,Sendi Mahir,259.2,2026-07-01,2027-07-01,SRS,Active,Calibration
Source Meter,OTHERS,Sendi Mahir,259.2,2026-07-01,2027-07-01,SRS,Active,Calibration
Source Meter,OTHERS,Sendi Mahir,259.2,2026-07-01,2027-07-01,SRS,Active,Calibration
Source Meter,OTHERS,Sendi Mahir,259.2,2026-07-01,2027-07-01,SRS,Active,Calibration
Vaccum & Double Pin Cleaning,PRESSURE,Multitech,72.9,2026-07-01,2027-07-01,SRS,p.switch,Pressure Gauge
Counting Scale,BALANCE,Multitech,108.0,2026-07-02,2027-07-02,R&D,Active,Calibration
Counting Scale,BALANCE,Multitech,108.0,2026-07-02,2027-07-02,Test Lab,Active,Calibration
Crane Scale,BALANCE,Multitech,1272.0,2026-07-02,2028-07-02,Test Lab,Active,Calibration
Cushion Folding,PRESSURE,Multitech,72.9,2026-07-02,2027-07-02,SRS,p.switch,Pressure Gauge
Hot Chamber,OVEN,Trescal,430.92,2026-07-02,2027-07-02,Test Lab,Active,Calibration
Inflator & Deflector Harness Assy,PRESSURE,Multitech,72.9,2026-07-02,2027-07-02,SRS,p.switch,Pressure Gauge
Inflator & Deflector Harness Assy,PRESSURE,Multitech,72.9,2026-07-02,2027-07-02,SRS,p.switch,Pressure Gauge
Platform Scale,BALANCE,Multitech,1378.0,2026-07-02,2027-07-02,Store,Active,Calibration
Band-It Ring Clamping,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Band-It Ring Clamping,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Cover Assy,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Cushion Folding AMA02,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Damper Unit Assy,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Force Gauge,FORCE GAUGE,Sendi Mahir,0.0,2026-07-06,2027-07-06,Safety,Active,Calibration
Height Check & Labelling,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Horn Test,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Horn Test,LOAD CELL,Multitech,466.56,2026-07-06,2027-07-06,SRS,load cell,Pressure Gauge
Inflator & Deflector Harness Assy,LOAD CELL,Multitech,466.56,2026-07-06,2027-07-06,SRS,load cell,Pressure Gauge
Inflator & Deflector Harness Assy,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Inflator & Deflector Harness Assy,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Inflator Tightening,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Inflator Tightening,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Soft Cover Install,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Uni Roller Folding,PRESSURE,Multitech,72.9,2026-07-06,2027-07-06,SRS,p.switch,Pressure Gauge
Data Acquisition Module,DATA ACQUISITION,DTS,5800.0,2026-07-08,2028-07-08,Test Lab,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,2160.0,2026-07-08,2027-07-08,Safety,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,216.0,2026-07-13,2027-07-13,SRS,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,216.0,2026-07-13,2027-07-13,SRS,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,216.0,2026-07-13,2027-07-13,SRS,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,216.0,2026-07-13,2027-07-13,SRS,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,216.0,2026-07-13,2027-07-13,SRS,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,216.0,2026-07-13,2027-07-13,SRS,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,216.0,2026-07-13,2027-07-13,SRS,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,216.0,2026-07-13,2027-07-13,SRS,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,216.0,2026-07-13,2027-07-13,SRS,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,2160.0,2026-07-13,2027-07-13,Safety,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,216.0,2026-07-13,2027-07-13,SRS,Active,Calibration
Force Gauge,FORCE GAUGE,Sendi Mahir,86.4,2026-07-14,2027-07-14,Safety,Active,Calibration
Force Gauge,FORCE GAUGE,Sendi Mahir,86.4,2026-07-14,2027-07-14,Safety,Active,Calibration
Force Gauge,FORCE GAUGE,Sendi Mahir,86.4,2026-07-14,2027-07-14,Safety,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,2160.0,2026-07-14,2027-07-14,Safety,Active,Calibration
Digimatic Indicator (depth gauge),DEPTH GAUGE,Sendi Mahir,64.8,2026-07-15,2027-07-15,SRS,Active,Calibration
CAL500 Tension Gauge & Meter,OTHERS,Micro Precision,1947.0,2026-07-30,2027-07-30,SRS,Active,Calibration
Torque Meter,TORQUE METER,Trescal,536.76,2026-07-31,2027-07-31,SRS,Active,Calibration
Force Gauge,FORCE GAUGE,Sendi Mahir,86.4,2026-08-05,2027-08-05,QA,Active,Calibration
Accelerometer,ACCELEROMETER,Ifuture,500.0,2026-08-06,2028-08-06,Test Lab,Active,Calibration
Accelerometer,ACCELEROMETER,Ifuture,500.0,2026-08-06,2028-08-06,Test Lab,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,1080.0,2026-08-06,2027-08-06,Safety,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,2160.0,2026-08-06,2027-08-06,Safety,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,2160.0,2026-08-06,2027-08-06,Safety,Active,Calibration
Torque Tightening,TORQUE TOOL,Indpro,1080.0,2026-08-11,2027-08-11,Safety,Active,Calibration
Angle Meter,OTHERS,Sendi Mahir,129.6,2026-08-13,2027-08-13,SRS,Active,Calibration
Measuring Tape,TAPE,Sendi Mahir,54.0,2026-08-13,2027-08-13,SRS,Active,Calibration
Measuring Tape,TAPE,Sendi Mahir,54.0,,,SRS,Active,Calibration
Torque Tightening Tools,TORQUE TOOL,Indpro,2700.0,,,SRS,Active,Calibration
